target,seed,model,val_bacc,test_bacc
t1,0,mlp,0.6776,0.673
t1,1,mlp,0.6814,0.6606
t1,2,mlp,0.7055,0.6459
t1,3,mlp,0.7072,0.6718
t1,4,mlp,0.6505,0.7104
t1,0,gcn,0.6386,0.6482
t1,1,gcn,0.6447,0.6346
t1,2,gcn,0.6706,0.6424
t1,3,gcn,0.6701,0.6182
t1,4,gcn,0.6284,0.6356
t1,0,gat,0.6649,0.6694
t1,1,gat,0.6607,0.6495
t1,2,gat,0.6863,0.6582
t1,3,gat,0.6882,0.6596
t1,4,gat,0.6661,0.6925
t1,0,walkattn,0.6857,0.672
t1,1,walkattn,0.6862,0.6596
t1,2,walkattn,0.7098,0.6503
t1,3,walkattn,0.7192,0.6662
t1,4,walkattn,0.6672,0.7175
t2,0,mlp,0.5726,0.5683
t2,1,mlp,0.5861,0.5773
t2,2,mlp,0.6072,0.5316
t2,3,mlp,0.5957,0.5728
t2,4,mlp,0.558,0.5743
t2,0,gcn,0.5775,0.5366
t2,1,gcn,0.561,0.5497
t2,2,gcn,0.584,0.5402
t2,3,gcn,0.558,0.5658
t2,4,gcn,0.5479,0.5472
t2,0,gat,0.5725,0.5371
t2,1,gat,0.5519,0.5402
t2,2,gat,0.571,0.5186
t2,3,gat,0.6057,0.5934
t2,4,gat,0.5483,0.5422
t2,0,walkattn,0.5877,0.5868
t2,1,walkattn,0.5906,0.5924
t2,2,walkattn,0.6067,0.5708
t2,3,walkattn,0.5997,0.6185
t2,4,walkattn,0.5947,0.6019
t3,0,mlp,0.5621,0.5322
t3,1,mlp,0.5394,0.5298
t3,2,mlp,0.5406,0.5119
t3,3,mlp,0.5442,0.5155
t3,4,mlp,0.5418,0.5477
t3,0,gcn,0.5644,0.5418
t3,1,gcn,0.5823,0.5442
t3,2,gcn,0.5537,0.5489
t3,3,gcn,0.5465,0.5239
t3,4,gcn,0.5477,0.5513
t3,0,gat,0.5573,0.543
t3,1,gat,0.6038,0.5585
t3,2,gat,0.5692,0.537
t3,3,gat,0.5811,0.5501
t3,4,gat,0.5465,0.5418
t3,0,walkattn,0.5943,0.5656
t3,1,walkattn,0.5704,0.5776
t3,2,walkattn,0.5919,0.5358
t3,3,walkattn,0.5883,0.5561
t3,4,walkattn,0.5513,0.5621
t4,0,mlp,0.5281,0.521
t4,1,mlp,0.5537,0.5153
t4,2,mlp,0.5232,0.5067
t4,3,mlp,0.5333,0.5407
t4,4,mlp,0.5211,0.5107
t4,0,gcn,0.5447,0.5261
t4,1,gcn,0.5435,0.5044
t4,2,gcn,0.5259,0.5431
t4,3,gcn,0.5163,0.5309
t4,4,gcn,0.5446,0.5079
t4,0,gat,0.5504,0.5076
t4,1,gat,0.5363,0.5046
t4,2,gat,0.5374,0.5285
t4,3,gat,0.513,0.5311
t4,4,gat,0.5447,0.5409
t4,0,walkattn,0.547,0.5443
t4,1,walkattn,0.5552,0.5004
t4,2,walkattn,0.5431,0.5406
t4,3,walkattn,0.53,0.5222
t4,4,walkattn,0.5328,0.5231
t5,0,mlp,0.822,0.8115
t5,1,mlp,0.8286,0.826
t5,2,mlp,0.8231,0.822
t5,3,mlp,0.819,0.8155
t5,4,mlp,0.8094,0.813
t5,0,gcn,0.7624,0.7367
t5,1,gcn,0.7499,0.7408
t5,2,gcn,0.7554,0.7408
t5,3,gcn,0.7554,0.7584
t5,4,gcn,0.7614,0.7449
t5,0,gat,0.818,0.7858
t5,1,gat,0.8115,0.7657
t5,2,gat,0.795,0.7915
t5,3,gat,0.7913,0.8034
t5,4,gat,0.8125,0.7778
t5,0,walkattn,0.8321,0.819
t5,1,walkattn,0.8407,0.8145
t5,2,walkattn,0.8315,0.8436
t5,3,walkattn,0.8335,0.8446
t5,4,walkattn,0.8185,0.8181
t1,0,gcn_res,0.6744,0.6742
t1,1,gcn_res,0.6601,0.6585
t1,2,gcn_res,0.6881,0.6342
t1,3,gcn_res,0.6921,0.6626
t1,4,gcn_res,0.6623,0.688
t1,0,gat_res,0.6736,0.6729
t1,1,gat_res,0.6662,0.6661
t1,2,gat_res,0.7,0.6544
t1,3,gat_res,0.6977,0.66
t1,4,gat_res,0.6656,0.711
t2,0,gcn_res,0.5931,0.5592
t2,1,gcn_res,0.5585,0.5698
t2,2,gcn_res,0.5962,0.5552
t2,3,gcn_res,0.5946,0.5904
