network,direction,k,reachable_targets,max_bits,mean_bits,frac_over_w32,frac_over_w64,frac_over_w128,pairs_with_parallel_walks,max_multiplicity
cora,as-is,1,1565,7.38,1.14,0.0026,0.0011,0.0004,0,1
cora,as-is,2,984,8.58,2.01,0.021,0.007,0.0026,745,5
cora,as-is,3,767,9.76,2.65,0.0384,0.0196,0.0078,2831,9
cora,as-is,4,674,11.03,3.19,0.0561,0.034,0.017,6617,19
cora,as-is,5,638,12.25,3.59,0.0698,0.0439,0.0295,10635,53
cora,as-is,6,632,13.4,3.88,0.082,0.0547,0.0406,14711,125
cora,as-is,7,629,14.52,4.17,0.0883,0.0665,0.048,18350,323
cora,as-is,8,628,15.63,4.45,0.0923,0.0746,0.0561,21933,772
cora,reversed,1,2222,2.32,1.08,0.0,0.0,0.0,0,1
cora,reversed,2,1903,4.32,1.92,0.0,0.0,0.0,745,5
cora,reversed,3,1778,5.58,2.7,0.0074,0.0,0.0,2831,9
cora,reversed,4,1717,6.92,3.55,0.0953,0.0122,0.0,6617,19
cora,reversed,5,1695,8.21,4.31,0.2389,0.0927,0.0155,10635,53
cora,reversed,6,1682,9.47,5.1,0.3959,0.2249,0.0853,14711,125
cora,reversed,7,1676,10.67,5.86,0.4612,0.3641,0.2079,18350,323
cora,reversed,8,1672,11.81,6.64,0.5026,0.4417,0.3482,21933,772
canadas,as-is,1,104,4.09,0.39,0.0,0.0,0.0,0,1
canadas,as-is,2,49,4.64,1.82,0.0,0.0,0.0,39,4
canadas,as-is,3,39,4.25,1.88,0.0,0.0,0.0,37,6
canadas,as-is,4,18,3.32,1.98,0.0,0.0,0.0,16,4
canadas,as-is,5,8,1.0,1.0,0.0,0.0,0.0,0,1
canadas,reversed,1,17,4.09,3.53,0.0,0.0,0.0,0,1
canadas,reversed,2,15,5.78,3.86,0.0174,0.0,0.0,39,4
canadas,reversed,3,7,6.13,4.55,0.0174,0.0087,0.0,37,6
canadas,reversed,4,5,5.29,3.85,0.0087,0.0,0.0,16,4
canadas,reversed,5,2,3.0,3.0,0.0,0.0,0.0,0,1
cit-HepPh,as-is,1,28230,9.72,2.7,0.0942,0.0338,0.0074,0,1
cit-HepPh,as-is,2,26325,13.92,5.69,0.4568,0.3607,0.2636,1132470,110
cit-HepPh,as-is,3,25368,17.92,8.55,0.6008,0.5527,0.4954,9406699,1481
cit-HepPh,as-is,4,24808,21.74,11.28,0.6462,0.6198,0.5876,33919301,22702
cit-HepPh,as-is,5,24427,25.55,13.9,0.661,0.6455,0.6266,73154631,286526
cit-HepPh,as-is,6,24159,29.24,16.43,0.6656,0.6559,0.6435,114648430,3892151
cit-HepPh,as-is,7,23977,32.76,18.88,0.6673,0.6602,0.6499,151307139,51513621
cit-HepPh,as-is,8,23843,36.15,21.26,0.6678,0.6623,0.6539,184562016,627609978
cit-HepPh,reversed,1,32158,8.68,2.99,0.0728,0.0111,0.0015,0,1
cit-HepPh,reversed,2,30366,13.16,6.18,0.6211,0.5108,0.373,1132470,110
cit-HepPh,reversed,3,29063,17.44,9.1,0.7269,0.6839,0.6321,9406699,1481
cit-HepPh,reversed,4,28032,21.36,11.86,0.7407,0.7184,0.6914,33919301,22702
cit-HepPh,reversed,5,27136,25.05,14.53,0.7404,0.7233,0.7045,73154631,286526
cit-HepPh,reversed,6,26491,28.79,17.09,0.736,0.7228,0.7083,114648430,3892151
cit-HepPh,reversed,7,26065,32.34,19.53,0.7321,0.7217,0.7096,151307139,51513621
cit-HepPh,reversed,8,25741,35.73,21.91,0.7284,0.7204,0.7113,184562016,627609978
