ring,distance,seed,model,acc
12,6,0,gcn,1.0
12,6,0,gat,1.0
12,6,0,walkattn,1.0
12,6,1,gcn,1.0
12,6,1,gat,1.0
12,6,1,walkattn,1.0
12,6,2,gcn,1.0
12,6,2,gat,1.0
12,6,2,walkattn,1.0
12,6,3,gcn,1.0
12,6,3,gat,1.0
12,6,3,walkattn,1.0
12,6,4,gcn,0.8281
12,6,4,gat,1.0
12,6,4,walkattn,1.0
16,8,0,gcn,0.6138
16,8,0,gat,0.6161
16,8,0,walkattn,1.0
16,8,1,gcn,0.2076
16,8,1,gat,0.2076
16,8,1,walkattn,1.0
16,8,2,gcn,0.2076
16,8,2,gat,0.2165
16,8,2,walkattn,1.0
16,8,3,gcn,0.8125
16,8,3,gat,0.7991
16,8,3,walkattn,1.0
16,8,4,gcn,0.817
16,8,4,gat,0.4554
16,8,4,walkattn,1.0
20,10,0,gcn,0.5826
20,10,0,gat,0.2165
20,10,0,walkattn,1.0
20,10,1,gcn,0.2165
20,10,1,gat,0.2165
20,10,1,walkattn,1.0
20,10,2,gcn,0.2165
20,10,2,gat,0.2165
20,10,2,walkattn,0.817
20,10,3,gcn,0.8504
20,10,3,gat,0.2344
20,10,3,walkattn,0.654
20,10,4,gcn,0.2232
20,10,4,gat,0.2232
20,10,4,walkattn,1.0
